Floor_Num,Total_Floor_Area,Column_Area,Concrete_Wall_AreaNS,Concrete_Wall_AreaEW,Masonry_Wall_AreaNS,Masonry_Wall_AreaEW,Captive_Columns,Damage_Class
2,299,0.62,0,0,2.98,2.17,1,Severe
2,132,1.15,0,0,1.81,0.47,1,Light
2,164,0.58,0,0,2.33,1.13,1,Severe
2,502,1.08,0,0,3.58,4.82,1,Light
1,181,0.89,0,0,2.06,2.21,1,Light
2,254,0.29,0,0,2.59,4.88,1,Severe
2,377,1.3,0,0,4.16,0.76,1,Severe
3,187,0.77,0,0,3.07,5.3,0,Light
1,299,0.93,0,0,5.86,5.12,1,Light
2,78,0.36,0,0,1.86,0.84,1,Light
2,635,1.54,0,0,3.89,5.26,0,Severe
2,1127,3.41,0,0,7.25,0,1,Light
3,193,0.64,0,0,2.22,0.64,0,Light
2,514,0.77,0,0,1.92,1.74,1,Light
2,1382,1.53,0,0,3.05,5.64,1,Light
2,393,1.65,0,0,4.65,3.44,1,Light
3,848,2.68,0,0,4.65,1.09,1,Moderate
2,237,0.42,0,0,1.26,0.3,1,Severe
3,191,0.71,0,0,5.95,1.02,1,Light
3,502,2.33,0,0,2.51,5.58,0,Light
3,1356,3.26,0,0,5.12,5.67,0,Moderate
2,2095,4.81,0,0,2.27,4.42,0,Light
3,1825,3.96,0,0,2.61,5,0,Light
4,2120,3.75,0,0,1.49,9.07,1,Moderate
2,1583,6.22,0,0,0,13.89,1,Severe
1,160,0.28,0,0,0,5.36,0,Light
1,419,3.98,0,0,0,4.34,0,Severe
1,531,4.76,0,0,4.84,12.12,0,Moderate
1,419,3.98,0,0,0,4.34,0,Severe
3,402,2.93,0,0,0,4.46,1,Light
2,654,2.88,0,0,0,6.82,0,Light
2,211,2.31,0,0,1.74,1.74,0,Moderate
2,150,0.17,0,0,2.54,8.06,0,Severe
2,274,1.4,0,0,0.34,2.82,0,Light
2,216,0.28,0,0,0,2.56,1,Severe
2,134,0.84,0,0,0,0.59,1,Severe
2,370,1.4,0,0,4.39,1.07,1,Light
2,203,0.28,0,0,1.07,1.07,1,Light
2,207,2,0,0,0,1.12,1,Light
2,423,2.87,0,0,0,10.11,1,Light
3,636,3.28,0,0,3.22,0.67,1,Severe
2,275,0.29,0,0,5.5,9.46,1,Light
2,180,0.12,0,0,4.83,9.95,0,Light
2,96,0,0,0,2.95,1.47,0,Severe
3,751,4.09,0,0,5.12,12.56,0,Moderate
2,99,0,0,0,3.23,2.71,0,Light
2,226,1.62,0,0,0.65,0.81,0,Severe
3,386,0.77,0,0,9.61,3.41,0,Severe
2,182,0.52,0,0,0.84,4.6,1,Light
2,213,,0,0,1.19,3.36,0,Light
2,157,0.19,0,0,4.46,1.12,0,Severe
2,106,,0,0,4.37,2.35,0,Light
2,374,1.34,0,0,3.09,0.6,0,Severe
2,190,0.37,0,0,0,1.74,0,Severe
2,245,0.3,0,0,1.05,2.88,0,Light
2,196,0.17,2.2,2.54,0,0,0,Light
3,839,2.23,0,0,3.35,4.23,1,Light
2,292,0.64,0,0,0.47,0,1,Severe
2,398,0.39,0,0,1.84,0,1,Severe
2,622,3.97,0,0,7.44,0,1,Light
4,1721,7.53,0,0,5.45,0,1,Moderate
5,4703,24.56,0,0,4.71,7.38,0,Light
3,2512,10.8,0,0,16.4,5.6,1,Severe
3,2412,8.8,0,0,23.9,22.1,1,Severe
5,4975,13.2,0,0,0,0,0,Severe
5,2135,6,0,0,0,0,0,Severe
4,682,0,5.8,0.6,0,0,0,Severe
4,647,2.4,1.6,0.5,0,0,0,Severe
4,823,2.8,1.3,0.5,0,0,0,Light
4,608,2.6,1,0.3,0,0,0,Moderate
4,713,2.4,0.3,1.1,0,0,0,Severe
4,770,3.2,0.375,1,0,0,0,Severe
4,630,4,0.48,1,0,0,0,Light
4,862,2.4,1.2,2,0,0,0,Light
3,1136,6.9,0,0,11.8,4,0,Light
5,608,2.8,0.3,0.9,0,0,0,Severe
4,780,3,0.7,1.2,0,0,0,Moderate
4,744,3.2,0.22,1.6,0,0,0,Severe
4,789,3.2,0.4,1.4,0,0,0,Severe
4,930,4.2,0.8,3.1,0,0,0,Severe
4,908,4.2,0.6,0.9,0,0,0,Severe
4,642,2.9,2.2,1.5,0,0,0,Moderate
4,995,3.5,0,1.4,0,0,0,Severe
4,995,3.1,3.2,1.3,0,0,0,Severe
4,727,3.3,1.4,0,0,0,0,Light
3,1332,7.4,6.3,1.5,2.6,0.3,1,Severe
3,1950,3.9,8.6,1.8,2.4,1.8,1,Severe
4,1006,3.4,1.9,0.4,0,0,0,Moderate
5,1014,6,0.8,0.7,0,0,0,None
4,618,2.74,0.96,0.38,0,0,0,Light
4,730.2,3.25,0.46,1.29,0,0,0,Light
4,609.4,1.85,2.86,0,0,0,0,Severe
3,625,3.63,3.25,0.36,0,0,1,Severe
4,783.6,3.31,1.9,1.08,0,0,1,Moderate
4,1057.3,3.15,2.7,3.42,0,0,0,Light
4,889.8,4.79,2.31,0.57,0,0,0,Severe
4,836.8,4.09,0.48,0.66,0,0,1,Severe
4,836.8,4.12,0.48,0.64,0,0,1,Severe
3,179.6,0,2.41,0,0,0,0,None
3,179.6,0,2.41,0,0,0,0,None
3,179.6,0,2.41,0,0,0,0,None
4,860.1,2.63,2.03,1.02,0,0,0,Severe
4,910.2,2.18,0,5.81,0,0,0,Moderate
4,582.4,3.23,0.86,1.51,0,0,0,None
3,499.1,4.15,3.08,1.25,0,0,0,Light
4,977.6,3.45,0.96,0.57,0,0,0,Light
4,727,3.82,0.82,0.48,0,0,0,Severe
4,883.2,3.52,0.48,1.66,0,0,0,Severe
4,690.7384,2.88,0.49,2.1825,0,0,0,Severe
4,974.4,5.6,0.26,0.28,0,0,0,Moderate
4,622.2,2.48,1.23,0.36,0,0,0,Severe
4,650.6,2.7,0.3,1.01,0,0,0,Light
4,771.9,1.65,1.15,1.89,0,0.71,0,Light
4,505.5,2.39,1.12,0.44,0,0,0,Moderate
4,913,5.62,0.495,1.8775,0,0,0,Severe
4,943,3.81,2.43,2.4475,0,0,0,Moderate
4,938,7.52,0.5575,1.83,0,0,0,None
4,719,5.62,0.495,1.8775,0,0,0,Light
4,999,3.095,0.987,0.315,0,0,0,None
4,1112,4.28,1.136,0.46,0,0,0,Light
4,802,3.6675,0,1.18625,0,0,0,Severe
4,772,0.68,0.56,11.6732,0,0,0,Severe
4,711,3.475,1.92,0.57,0,0,0,Light
3.5,3131,7.8,0,0,17.792,4.12,0,Light
5,509,2.58,0.514,1.404,0,0,0,Light
5,832,3.84,0.92,2.96,0,0,0,Light
6,19738,10.84,37.224,43.92,0,0,0,Light
4,771,3.96,0.348,3.668,0,0,0,Severe
4,985,3.24,1.05,0.416,0,0,0,Severe
4,890,3.998,0.808,0,0,0,0,Light
4,654,3.24,0.84,0.47,0,0,0,Light
4,700,3,0.4,1.2,0,0,0,Light
4,879,3.4,0.5,0.4,0,0,0,Moderate
4,862,3.8,0.5,0.6,0,0,0,Moderate
4,513,3.2,0.1,1.4,0,0,0,Light
2,169,,2.705,0.792,0,0,0,None
6,3160,9.7,0,0,4.3,3,0,Severe
2,168,0.5,0,0,2.9,0.5,0,Moderate
2,642,1.6,0,0,3.7,2.9,1,Light
2,174,0.9,0,0,4.4,0.7,0,Light
3,307,0.9,0,0,0.9,3.1,0,Moderate
4,430,1.4,0,0,3.7,0.8,1,Severe
4,570,3,0,0,1.2,2.3,0,Moderate
2,599,3.7,0,0,3.2,3,0,Severe
5,1026,2.8,0,0,2.6,3.7,1,Severe
4,3169,5,0,0,4,4.3,0,Severe
3,327,2.2,0,0,0.9,1.1,0,Moderate
3,477,1.9,0,0,13.2,1.2,0,Severe
2,339,2.2,0,0,1,4,0,Light
1,114,1,0,0,1.6,0.9,0,Moderate
3,417,1.8,0,0,7.3,0.7,1,Severe
2,897,2.2,0,0,5,1.7,0,Severe
3,726,3,0,0,4.4,1.9,0,Severe
3,144,0.5,0,0,2.2,0.5,0,Moderate
2,88,0.4,0,0,1.1,0.3,0,Moderate
4,824,2.8,0,0,3.1,4.5,0,Severe
1,96,0.7,0,0,2.4,0.7,0,Severe
3,1566,5.4,0,0,7.2,6.1,1,Severe
1,1027,3.6,0,0,6.9,7.2,1,Light
2,657,2.2,0,0,2.8,5.3,1,Moderate
2,623,3.3,0,0,5.9,5.2,1,Light
2,702,2.8,0,0,5,6.5,1,Severe
2,635,2.3,0,0,3.3,3.1,0,Severe
2,226,1.4,0,0,0,2.7,1,Light
2,314,2,0,0,2,3.9,1,Light
3,688,1.1,0,0,0,2.7,1,Severe
3,676,1.1,0,0,0,2.8,1,Moderate
3,852,1.7,0,0,3.4,0,1,Severe
4,874,3,0,0,1.9,2.1,1,Severe
3,688,1.7,0,0,3.4,0,1,Light
3,712,5,0,0,3.9,0,1,Light
5,1310,3.2,0,0,2.9,1.9,0,Severe
2,328,1.6,0,0,0,1.7,1,Severe
2,86,0.6,0,0,0.9,4.1,1,Severe
2,323,0.6,0,0,2.7,0.4,1,Light
1,258,0.8,0,0,1.5,7.9,1,Severe
2,356,2.4,0,0,0.5,3.4,1,Moderate
1,164,1.4,0,0,2.8,2.1,1,Light
3,813,2.3,0,0,2,4.1,0,Severe
3,197,1,0,0,1.1,0.5,0,Light
2,276,1.5,0,0,4,0.8,0,Severe
4,719,1.9,0,0,3.6,3.4,0,Severe
6,1098,3.7,0,0,2.2,6.2,1,Severe
4,1433,3.4,0,0,2.5,5.8,1,Severe
2,315,1.2,0,0,3.1,0,1,Severe
2,272,1.1,0,0,0,1.7,1,Moderate
2,232,1.1,0,0,0,1.3,1,Moderate
2,437,1.7,0,0,4,0,1,Severe
2,346,2.1,0,0,2.1,1.4,1,Moderate
2,312,2,0,0,2.4,0,1,Moderate
2,290,2,0,0,2,1.5,1,Moderate
5,1242,2.9,0,0,3.5,1.3,1,Moderate
6,1545,5.3,0,0,2.3,1.3,0,Severe
3,537,1.8,0,0,1,0,1,Light
3,514,2.2,0,0,1.5,1.2,0,Light
3,1425,4.3,0,0,5.2,3.2,0,Moderate
4,238,1,0,0,0.8,0,1,Moderate
5,299,1.2,0,0,2.1,1,0,Light
5,387,0.9,0,0,0.3,1.4,0,Light
5,414,1.3,0,0,0.9,0.3,0,Severe
6,3160,9.7,0,0,4.3,3,0,Severe
2,155,1.4,0,0,0,2.1,0,Light
2,731,3.1,0,0,5.9,2,0,Light
5,305,2.4,0,0,2,1.4,0,Severe
2,324,1.5,0,0,3.1,2.2,0,Light
3,266,1.6,0,0,3.9,8.2,0,Light
2,315,1.4,0,0,2,1,0,Light
2,418,3.2,0,0,4.8,1.4,0,Light
5,657,3.6,0,0,1.4,2,0,Moderate
4,656,2,0,0,1.3,1.2,0,Moderate
3,246,1.8,0,0,1.6,7.6,0,Severe
5,583,1.8,0,0,1,1.1,0,Severe
3,388,1.8,0,0,1,1.1,1,Severe
6,1333,3,0,0,3.1,0.1,0,Severe
4,493,1.4,0,0,0.6,1.4,0,Severe
3,792,3.2,0,0,1,2.7,1,Severe
3,460,1.4,0,0,5.3,1.8,0,Severe
2,175,0.8,0,0,2,1.1,0,Moderate
2,459,3.6,0,0,0,1.4,1,Light
1,223,1.7,0,0,1.4,0,1,Light
3,1031,3.5,0,0,1.6,2.4,1,Severe
3,762,2.1,0,0,1.1,0,1,Light
2,864,2.3,0,0,2.3,5,1,Light
2,947,2.7,0,0,2.3,5.1,0,Light
1,184,1.4,0,0,3,0.3,1,Light
2,459,1.8,0,0,0.6,0.8,1,Light
1,231,1.8,0,0,4,0,1,Light
2,292,2,0,0,2.4,2.4,1,Light
3,689,2.1,0,0,1.3,0,1,Light
3,663,4.2,0,0,1.6,1.9,1,Severe
3,1105,4.8,0,0,1.8,2.3,1,Severe
3,965,3.8,0,0,2.6,1.9,1,Severe
3,704,1.7,0,0,5,0,1,Moderate
3,700,2.1,0,0,5.8,0,1,Light
3,688,1.7,0,0,0.8,2.6,1,Light
2,672,2.3,0,0,2.4,0,1,Severe
2,362,2.2,0,0,2.2,0,1,Light
2,443,1.7,0,0,3.6,0.4,1,Light
1,221,1.7,0,0,0.4,3,1,Severe
2,699,2.1,0,0,3.1,1.7,1,Severe
3,672,1.7,0,0,3.8,0,1,Light
2,317,1.2,0,0,1.8,0,1,Light
2,451,1.8,0,0,4.2,3.4,1,Light
2,292,2,0,0,2.7,0,1,Light
1,159,1.3,0,0,2.3,1.2,1,Light
4,550,1.2,0,0,0.9,1.5,0,Severe
3,325,1.4,0,0,4.3,0,0,Severe
5,625,1.6,0,0,1.3,1.2,0,Severe
2,572,2.3,0,0,0.7,0.6,1,Severe
6,1781,5.6,0,0,5.7,1.2,1,Moderate
3,514,1.6,0,0,1.3,1.5,1,Severe
1,175,1.2,0,0,3.1,0,1,Moderate
1,183,2.2,0,0,3.7,4.2,0,Light
3,889,2.2,0,0,2,2.8,1,Severe
3,254,0.4,0,0,0.4,1.5,0,Severe
2,270,1.2,0,0,0,2.5,0,Light
2,330,1.1,0,0,4.7,1.5,0,Severe
6,3160,9.7,0,0,4.3,3,0,Severe
4,301,1.5,0,0,0.8,0.4,0,Moderate
3,603,1.7,0,0,2.6,2.6,0,Moderate
3,827,1.4,0,0,3.6,4.9,0,Moderate
3,447,1.2,0,0,2.3,0.5,0,Severe
5,1240,0.9,0,0,1,2.4,0,Severe
2,278,1.5,0,0,2.5,1,0,Severe
3,277,1,0,0,2.7,0.7,0,Moderate
3,275,1.6,0,0,1.5,1,0,Severe
3,343,1,0,0,2.8,0.9,0,Severe
4,205,1.2,0,0,0.6,1.3,0,Moderate
4,3169,5,0,0,4,4.3,0,Severe
3,412,0.94,0,0,3.8,1.3,0,Severe
4,374,1.9,0,0,1.8,1.5,0,Moderate
3,245,1.3,0,0,4.1,0.4,0,Moderate
2,350,1.1,0,0,3.1,2.7,1,Light
1,259,1.3,0,0,1.9,1.8,1,Severe
3,996,3.5,0,0,2.5,0.4,1,Severe
2,551,1.4,0,0,3.6,4.9,0,Severe
3,850,1.9,0,0,7.1,3.7,1,Severe
3,437,1.1,0,0,2.6,2.5,1,Severe
3,799,2,0,0,0.7,0.8,1,Severe
3,704,1.8,0,0,2.7,0,0,Light
3,680,1.8,0,0,0.4,2.7,1,Severe
3,619,1.6,0,0,0,2.8,1,Severe
3,594,1.9,0,0,2.7,0.3,1,Moderate
3,523,1.3,0,0,0,2.7,1,Light
4,523,2.6,0,0,4.8,3,1,Light
2,403,1.5,0,0,2.7,2.7,1,Light
3,705,1.7,0,0,4.1,2.3,1,Severe
1,413,4.2,0,0,8.2,12.3,1,Moderate
2,357,1,0,0,2.9,2.2,1,Moderate
2,429,1.7,0,0,2.9,0.4,1,Light
2,429,1.7,0,0,3.6,3.3,1,Light
3,339,1.4,0,0,1.6,3,1,Severe
2,162,0.8,0,0,2.5,0.3,0,Moderate
5,1438,8.6,0,0,4.5,1.5,0,Severe
4,1428,3.4,0,0,4,5.8,0,Severe
4,356,0.6,0,0,4,0.8,0,Light
4,1424,4.1,0,0,2.7,6.8,0,Moderate
2,108,0.9,0,0,0.6,2,0,Severe
2,2606,8.8,0,0,10.4,6.6,0,Moderate
3,903,2.3,0,0,2.6,6.2,0,Severe
6,2094,3.6,1.6,1.8,0.5,1.1,0,Moderate
2,105,1.1,0,0,1.5,1.2,0,Light
2,205,1.8,0,0,1.4,1.8,0,Moderate
2,199,0.8,0,0,0.8,1.5,0,Moderate
3,322,0.8,0,0,4.4,2.7,0,Severe
3,442,1,0,0,4.4,1.5,0,Severe
3,464,0.9,0,0,2.7,0.7,0,Moderate
2,156,0.9,0,0,5.7,1.4,0,Light
6,1736,4.99,0,0,5.34,3.19,1,None
2.5,219,0.84,0,0,0,0,1,None
2,159,0.84,0,0,4.15,0.72,1,None
2,159,0.84,0,0,4.15,0.72,1,None
3,201,0.84,0,0,2.21,0,1,None
2.5,177,0.84,0,0,4.34,0,1,None
5.5,440,0.84,0,0,3.28,0.21,0,Severe
6,710,1.24,0,0,0.79,0.93,0,Light
3,461,1.7,0,0,9.6,7.54,0,None
5,443,1.21,0,0,0.73,2.15,0,Light
4.5,1225,1.62,0,0,2.23,0.34,0,Severe
4,479,0.84,0,0,8,1.74,0,Severe
3.5,1859,5.02,0,0,3.06,17.02,1,Severe
6,377,1.05,0,0,2.66,0.31,0,None
4,408,1.74,0,0,4.73,1.23,0,Moderate
4,424,2.23,0,0,5.75,1.93,0,Moderate
4,352,1.05,0,0,5.39,4.45,0,Severe
3,106,0.84,0,0,0.82,0,0,None
5.5,715,0.94,0,0,3.48,0,0,Severe
6,834,1.41,0,0,5.4,1.35,0,Severe
5.5,299,0.77,0,0,2.62,2.74,0,Severe
4.5,234,0.63,0,0,1.89,2.21,0,Light
5.5,789,1.86,0,0,0,0,0,Severe
4.5,338,1.39,0,0,2.73,1.44,0,Severe
7.5,946,1.11,0,0,1.72,4.61,0,Severe
4.5,290,0.57,0,0,6,2.33,0,Moderate
6,1498,2.3,0,0,4.16,1.11,0,Severe
4,403,1.05,0,0,3.47,0,0,None
5.5,870,1.46,0,0,8.9,0,0,Severe
6,486,0.84,0,0,2.64,0.3,0,Severe
5,418,0.84,0,0,4.73,0.31,0,Severe
5,801,1.33,0,0,3.05,0,0,Severe
6,729,1.25,0,0,5.14,0.49,1,Light
5.5,248,0.63,0,0,1.1,1.12,0,Light
5.5,510,1.11,0,0,5.28,1.85,0,None
5,496,1.11,0,0,6.99,0,0,Severe
3.5,369,0.78,0,0,0,1.73,1,Severe
3,306,0.78,0,0,4.13,0,1,Moderate
5.5,532,1.05,0,0,7.71,1.34,1,None
6.5,818,1.25,0,0,3.72,0.55,1,Severe
6.5,818,1.25,0,0,3.72,0.55,1,Severe
6.5,1623,2.3,0,0,4.46,1.11,1,Severe
3,160,1.03,0,0,0,0,0,Severe
5.5,478,0.77,0,0,3.87,0,0,Moderate
4,1752,3,0,0,8.41,4.68,0,None
5,495,1.24,0,0,5.87,0.97,0,Light
7,771,1.04,0,0,1.69,3.06,0,Severe
1.5,147,1.67,0,0,4.18,2.55,0,None
3,371,1.08,0,0,2.79,5.25,0,None
6,1498,2.3,0,0,4.29,1.11,0,Severe
3.5,207,1.02,0,0,2.23,3.76,0,Severe
3.5,232,0.63,0,0,5.31,2.97,0,Severe
3.5,447,1.01,0,0,6.04,2.88,0,Severe
3.5,211,0.63,0,0,1.35,0.84,0,Light
3.5,170,0.84,0,0,2.74,1.68,0,Severe
3.5,75,0.42,0,0,0,0.82,0,Severe
3,110,0.63,0,0,1.34,0,0,Light
3,168,0.77,0,0,4.41,1.38,1,Light
4,298,0.84,0,0,4.31,3.73,1,Light
3,176,0.63,0,0,1.9,0,1,Severe
4,253,0.91,0,0,2.38,0.62,1,Severe
4,322,1.11,0,0,7.15,0.6,1,None
2,121,0.63,0,0,1.77,0.75,0,Light
6,634,1.18,0,0,1.55,0,0,Severe
4.5,249,0.63,0,0,2.57,0.2,1,Severe
5.5,1482,2.23,0,0,4.18,0,1,Severe
2.5,301,1.18,0,0,2.46,1.5,0,None
3.5,219,0.57,0,0,2.79,0,0,None
3,190,0.63,0,0,3.75,1.36,0,None
3,210,0.73,0,0,0,0,0,None
2.5,132,0.63,0,0,4.29,0,0,None
5,582,0.99,0,0,3.97,1.22,0,Severe
3.5,143,0.52,0,0,2.25,0.66,0,None
3,228,0.73,0,0,4.55,0.05,0,Severe
3.5,182,0.47,0,0,0.81,0.89,0,Moderate
4,291,0.77,0,0,1.88,1.65,0,Severe
2.5,159,0.47,0,0,0,0.71,0,Moderate
3,307,0.63,0,0,0,3.3,0,Severe
4.5,253,0.63,0,0,5.23,0,0,Severe
4,261,0.63,0,0,4.51,0,0,Severe
4.5,533,1.58,0,0,4.78,1.94,0,Severe
5.5,908,1.49,0,0,7.62,0,1,Severe
4,333,1.3,0,0,6.96,1.2,1,None
4,593,1.67,0,0,5.62,4.62,1,Severe
2.5,261,1.52,0,0,6.02,0.3,1,None
4,604,1.46,0,0,6.79,5.64,1,Severe
3.5,576,1.15,0,0,7.26,3.53,1,None
4,520,1.24,0,0,2.54,0.34,0,Severe
3.5,152,0.76,0,0,2.07,0,0,Moderate
5.5,388,0.93,0,0,4.6,0,0,None
3.5,158,1.08,0,0,2.21,1.33,0,None
3.5,929,2.6,0,0,5.41,0,1,Severe
2.5,170,0.65,0,0,1.79,0.63,0,None
3.5,291,0.84,0,0,4.88,0,0,Severe
2.5,217,0.84,0,0,5.02,0,0,None
3.5,241,0.73,0,0,5.05,0,0,Moderate
4.5,372,1.11,0,0,2.39,0.62,0,None
3.5,285,1.3,0,0,2.58,0,0,Severe
3.5,396,0.52,0,0,3.83,0,0,Moderate
3.5,476,0.84,0,0,2.08,1.37,0,None
3,330,0.73,0,0,0,0.78,0,None
4,384,0.73,0,0,3.29,0,0,Severe
2.5,237,0.72,0,0,0,0,0,Severe
1.5,100,0.84,0,0,1.47,2.32,0,None
2,182,0.81,0,0,0.33,2.27,0,None
2.5,196,0.49,0,0,0,0.4,0,Severe
4,234,0.77,0,0,3.12,1.89,0,Severe
2,139,1.18,0,0,5.31,2.28,0,None
2,98,0.84,0,0,1.45,0.95,0,None
4,202,0.79,0,0,2.77,2.69,0,Moderate
3,229,0.91,0,0,5.06,1.45,1,Severe
4,665,1.86,0,0,1.99,2.96,1,Severe
4,204,0.47,0,0,2.31,1.25,0,Moderate
2,98,0.63,0,0,1.64,0,0,None
4,421,1.56,0,0,2.13,0,0,Severe
4.5,432,0.98,0,0,4.76,1.71,0,Light
3.5,179,0.7,0,0,2.23,0,1,Severe
3,189,0.84,0,0,5.46,0.34,0,Light
3.5,243,0.93,0,0,5.06,0,0,None
4.5,278,0.52,0,0,1.71,2.01,0,None
3.5,174,0.47,0,0,2.59,0,0,Severe
2.5,170,0.84,0,0,3.22,1.64,0,None
2,163,1.22,0,0,0.7,1.38,0,None
3.5,229,0.98,0,0,1.15,0,0,None
3.5,242,0.95,0,0,3.11,0,0,Severe
6.5,471,0.63,0,0,1.64,1.73,0,None
6,1460,3.07,0,0,2.35,1.73,0,Light
5,1757,3.25,0,0,2.21,1.73,0,Light
6,983,1.67,0,0,0.25,1.11,1,None
6,1460,3.07,0,0,1.93,1.73,1,None
7,2114,3.81,0,0,2.95,1.73,1,Light
7,1778,3.07,3.69,1.53,3.69,0.91,1,Severe
5.5,820,1.86,0,0,2.35,1.67,1,Light
5,1217,3.07,0,0,1.59,1.73,0,None
5,615,1.67,0,0,1.58,1.11,0,Light
